filename,is_defective,defect_type,confidence,defect_area_mm2,defect_area_px,anomaly_score,inference_time_ms,decision_status
specimen_01_crack.png,True,crack,0.9685,12.32,1232.0,0.9879,15.47,CONFIRMED_DEFECT
specimen_00_normal.png,False,normal,0.8689,0.00,0.0,0.1311,15.38,CLEAN_PASS
